,Operacao,Operador_Padronizado,Descricao_do_Tipo
181,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
184,Voo Regular,AZUL,OPERAÇÕES NO SOLO
186,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
187,Táxi Aéreo,RIO ACRE AEROTAXI LTDA ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
196,Voo Regular,TAM,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
200,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
201,Voo Regular,AZUL,COLISÃO COM AVE
207,Voo Regular,AZUL,OPERAÇÕES NO SOLO
211,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
212,Voo Regular,AZUL,OUTROS
213,Táxi Aéreo,PIQUIATUBA TAXI AÉREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
217,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
218,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
220,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
221,Táxi Aéreo,RG8 TAXI AEREO LTDA,OUTROS
223,Voo Regular,GOL,INCURSÃO EM PISTA
224,Voo Regular,AZUL,INCURSÃO EM PISTA
226,Táxi Aéreo,SALES TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DO MOTOR
227,Táxi Aéreo,SALES TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DO MOTOR
229,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
230,Voo Regular,AZUL,COLISÃO COM AVE
247,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,COLISÃO COM AVE
248,Táxi Aéreo,CHC DO BRASIL TAXI AEREO S.A,OUTROS
249,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
250,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
252,Voo Regular,AZUL,COLISÃO COM AVE
263,Táxi Aéreo,AIR JET TAXI AEREO LTDA,COLISÃO COM AVE
266,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
270,Táxi Aéreo,RIMA RIO MADEIRA AEROTAXI LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
274,Voo Regular,GOL,OUTROS
275,Táxi Aéreo,VOARE TÁXI AÉREO LTDA,CONTATO ANORMAL COM A PISTA
276,Táxi Aéreo,LIDER TAXI AEREO S.A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
282,Voo Regular,TAM,OUTROS
283,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
284,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
288,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,EXCURSÃO DE PISTA
295,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
297,Voo Regular,,OPERAÇÕES NO SOLO
298,Voo Regular,TAM,OPERAÇÕES NO SOLO
299,Táxi Aéreo,TWO TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
300,Voo Regular,TAM,COLISÃO COM AVE
304,Voo Regular,TAM,COLISÃO COM AVE
318,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
319,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
320,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
321,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
322,Táxi Aéreo,FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUÁRIOS LTDA.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
323,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
325,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
329,Voo Regular,ASTA LINHAS AEREAS LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
330,Voo Regular,ASTA LINHAS AEREAS LTDA,EXCURSÃO DE PISTA
334,Táxi Aéreo,MILL TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
339,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
351,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
354,Táxi Aéreo,MANAUS AEROTAXI PARTICIPACOES LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
357,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
360,Voo Regular,GOL,
361,Voo Regular,TWO TAXI AEREO LTDA,EXCURSÃO DE PISTA
362,Voo Regular,TWO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
371,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
374,Voo Regular,MAP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
376,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
377,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
378,Voo Regular,AZUL,COLISÃO COM AVE
379,Voo Regular,TAM,
380,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
382,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
384,Voo Regular,PASSAREDO,
386,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DO MOTOR
389,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
395,Voo Regular,AZUL,
398,Táxi Aéreo,SETE TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
404,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
408,Táxi Aéreo,NHR TAXI AEREO LTDA,
409,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
410,Voo Regular,TAM,
411,Voo Regular,AZUL,
412,Voo Regular,AZUL,OUTROS
415,Táxi Aéreo,ALP AERO TAXI LTDA,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
419,Voo Regular,MAP,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
421,Táxi Aéreo,LIDER TAXI AEREO S A AIR BRASIL,
427,Voo Regular,TAM,
428,Táxi Aéreo,RICO TAXI AEREO LTDA,COLISÃO NO SOLO
429,Táxi Aéreo,ALABE SERVICIOS AEREOS,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
430,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
431,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
432,Táxi Aéreo,ALABE SERVICIOS AEREOS,EXCURSÃO DE PISTA
434,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,
436,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
443,Voo Regular,AZUL,
444,Voo Regular,PASSAREDO,OUTROS
446,Táxi Aéreo,LIDER AVIACAO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
449,Táxi Aéreo,TWO TAXI AEREO LTDA,OUTROS
450,Voo Regular,OCEANAIR,
453,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
454,Voo Regular,AZUL,
456,Voo Regular,AZUL,EXCURSÃO DE PISTA
457,Voo Regular,AZUL,
458,Voo Regular,AIR FRANCE,
463,Táxi Aéreo,NHR TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
467,Táxi Aéreo,OMNI TAXI AEREO LTDA,COLISÃO NO SOLO
468,Táxi Aéreo,NHR TAXI AEREO LTDA,COLISÃO NO SOLO
469,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
470,Voo Regular,PASSAREDO,OUTROS
471,Voo Regular,GOL,OUTROS
474,Voo Regular,RIO,
477,Táxi Aéreo,TWO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
479,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,EXCURSÃO DE PISTA
480,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,PERDA DE CONTROLE NO SOLO
481,Táxi Aéreo,AERO RIO TAXI AEREO LTDA,COLISÃO COM AVE
482,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
483,Voo Regular,AZUL,
484,Táxi Aéreo,AEROLEO TAXI AEREO,
487,Voo Regular,GOL,COLISÃO COM AVE
494,Táxi Aéreo,PEMA PEREIRA E MACHADO TAXI AEREO LTDA,OUTROS
496,Táxi Aéreo,RIO ACRE AEROTAXI LTDA ME,COLISÃO NO SOLO
497,Voo Regular,RIO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
500,Voo Regular,AZUL,
501,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
502,Voo Regular,TOTAL,
503,Táxi Aéreo,EROSIGMA TAXI AEREO E SERVS/AER.ESP.LTDA,INDETERMINADO
507,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
515,Táxi Aéreo,CTA CLEITON TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
517,Voo Regular,AZUL,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
519,Voo Regular,AZUL,
522,Táxi Aéreo,VEM AVIATION TAXI AEREO LTDA ME,
531,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
538,Táxi Aéreo,JUTA JUNQUEIRA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
541,Táxi Aéreo,OMNI TAXI AEREO LTDA,OUTROS
545,Táxi Aéreo,JAD TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
558,Voo Regular,OCEANAIR,FOGO/FUMAÇA
566,Táxi Aéreo,LIDER TAXI AEREO S A AIR BRASIL,
578,Voo Regular,GOL,OUTROS
581,Voo Regular,AZUL,
583,Voo Regular,AZUL,
585,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
589,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
595,Voo Regular,GOL,COLISÃO COM AVE
597,Voo Regular,MAP,FOGO/FUMAÇA
604,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
608,Táxi Aéreo,PEMA – PEREIRA MACHADO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
610,Voo Regular,TAM,OPERAÇÕES NO SOLO
613,Táxi Aéreo,MANAUS AEROTAXI PARTICIPACOES LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
627,Táxi Aéreo,HERINGER TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
628,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
631,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
632,Voo Regular,TAM,COLISÃO COM AVE
635,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
636,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
637,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
640,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
641,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
644,Voo Regular,Argentina,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
645,Voo Regular,Argentina,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
646,Voo Regular,TAM,OPERAÇÕES NO SOLO
647,Voo Regular,TAM,OPERAÇÕES NO SOLO
653,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
656,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
657,Voo Regular,GOL,COLISÃO COM AVE
667,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
668,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
670,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
671,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
678,Táxi Aéreo,EMAR TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
683,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
685,Táxi Aéreo,ICARAI TURISMO TAXI AEREO LTDA,OUTROS
689,Táxi Aéreo,Atlantico Sul Aerotaxi,PERDA DE CONTROLE EM VOO
691,Táxi Aéreo,Girassol Aerotaxi Ltda,PERDA DE CONTROLE NO SOLO
695,Voo Regular,VARIG/GOL,PERDA DE CONTROLE NO SOLO
697,Táxi Aéreo,TOP LINE TAXI AEREO LTDA,INDETERMINADO
698,Voo Regular,TAM,COLISÃO COM AVE
705,Voo Regular,GOL,COLISÃO NO SOLO
707,Voo Regular,TRIP,
710,Voo Regular,TAM,COLISÃO NO SOLO
711,Táxi Aéreo,OMNI TAXI AEREO LTDA,
717,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
719,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
720,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
722,Táxi Aéreo,WJ TAXI AEREO LTDA,EXCURSÃO DE PISTA
