,Operacao,Operador_Padronizado,Descricao_do_Tipo
2212,Voo Regular,TAM,COLISÃO COM AVE
2213,Voo Regular,TAM,
2214,Voo Regular,TAM,
2217,Voo Regular,TAM,COLISÃO COM AVE
2218,Voo Regular,GOL,
2222,Voo Regular,TAM,
2223,Voo Regular,TAM,
2225,Voo Regular,TAM,
2227,Táxi Aéreo,BRASIL VIDA TAXI AEREO LTDA - EPP,OUTROS
2228,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2229,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2230,Voo Regular,GOL,
2231,Voo Regular,AZUL,
2232,Voo Regular,PANTANAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2234,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2237,Táxi Aéreo,EMPRESA BAIANA DE TAXI AEREO LTDA. - EBTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2238,Táxi Aéreo,EMPRESA BAIANA DE TAXI AEREO LTDA. - EBTA,EXCURSÃO DE PISTA
2239,Voo Regular,TRIP,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2243,Táxi Aéreo,J.V.C. AEROTAXI LTDA,PERDA DE CONTROLE EM VOO
2245,Táxi Aéreo,TAXI AEREO RIBEIRO,COLISÃO COM AVE
2246,Voo Regular,TAM,
2247,Voo Regular,GOL,
2248,Voo Regular,TAM,
2250,Voo Regular,AZUL,
2251,Táxi Aéreo,SETE TAXI AEREO LTDA,
2252,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2253,Voo Regular,AZUL,
2255,Voo Regular,PASSAREDO,EXCURSÃO DE PISTA
2256,Voo Regular,RIO,COLISÃO COM AVE
2257,Voo Regular,PASSAREDO,PERDA DE CONTROLE NO SOLO
2258,Voo Regular,TAM,
2259,Voo Regular,AZUL,
2260,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
2261,Voo Regular,TAM,
2268,Voo Regular,GOL,
2269,Voo Regular,TAM,COLISÃO COM AVE
2270,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2271,Voo Regular,TAM,
2272,Voo Regular,TAM,
2273,Voo Regular,TAM,
2275,Voo Regular,TAM,COLISÃO COM AVE
2276,Táxi Aéreo,,
2277,Voo Regular,WEBJET,
2278,Voo Regular,TAM,COLISÃO COM AVE
2279,Táxi Aéreo,DS AIR TAXI AEREO LTDA,
2280,Voo Regular,TAM,
2281,Voo Regular,TAM,
2282,Voo Regular,TAM,COLISÃO COM AVE
2283,Voo Regular,AZUL,
2284,Voo Regular,AZUL,
2285,Voo Regular,AZUL,
2287,Voo Regular,TAM,
2288,Voo Regular,TAM,
2289,Táxi Aéreo,RIO,
2291,Voo Regular,TAM,
2292,Voo Regular,TAM,COLISÃO COM AVE
2293,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2294,Voo Regular,TAM,FOGO/FUMAÇA
2295,Táxi Aéreo,TWO TAXI AEREO LTDA,
2298,Voo Regular,TAM,
2299,Voo Regular,GOL,
2301,Táxi Aéreo,J.V.C. AEROTAXI LTDA,PERDA DE CONTROLE EM VOO
2303,Voo Regular,TAM,
2305,Táxi Aéreo,JAD TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2310,Voo Regular,AZUL,COLISÃO COM AVE
2313,Voo Regular,TAM,
2314,Voo Regular,GOL,
2315,Voo Regular,GOL,
2316,Voo Regular,TAM,
2321,Voo Regular,TAM,
2322,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2323,Táxi Aéreo,OCEANAIR TAXI AEREO LTDA,OUTROS
2324,Voo Regular,TRIP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2325,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2327,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
2328,Táxi Aéreo,TASP – TAXI AEREO SUL DO PARA LTDA,COLISÃO COM AVE
2330,Voo Regular,TAM,
2341,Táxi Aéreo,SETE TAXI AEREO LTDA,
2342,Voo Regular,AZUL,
2343,Táxi Aéreo,SETE TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2344,Voo Regular,WEBJET,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2345,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2346,Voo Regular,TAM,
2347,Voo Regular,TAM,
2348,Táxi Aéreo,FLYONE SERVICOS AEREOS ESPECIALIZADOS,PERDA DE CONTROLE EM VOO
2350,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,
2351,Voo Regular,TAM,COLISÃO COM AVE
2352,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2353,Táxi Aéreo,REALI TAXI AEREO LTDA,
2354,Voo Regular,OCEANAIR,
2355,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,COLISÃO COM AVE
2358,Táxi Aéreo,OMNI TAXI AEREO LTDA,
2359,Voo Regular,GOL,
2360,Táxi Aéreo,METRO TAXI AEREO LTDA,
2362,Voo Regular,AZUL,
2363,Voo Regular,AZUL,
2365,Voo Regular,VARIG LOGISTICA S/A,
2366,Voo Regular,AZUL,
2368,Voo Regular,WEBJET,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2369,Táxi Aéreo,SETE TAXI AEREO LTDA,
2370,Voo Regular,TAM,
2371,Voo Regular,PUMA AIR LINHAS AEREAS LTDA,COLISÃO COM AVE
2374,Táxi Aéreo,CEARA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2375,Voo Regular,TAM,
2376,Voo Regular,TAM,
2377,Voo Regular,GOL,
2378,Voo Regular,TAM,
2379,Táxi Aéreo,PEC TAXI AEREO LTDA,
2380,Táxi Aéreo,RIO,
2381,Voo Regular,AZUL,
2384,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2386,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
2387,Táxi Aéreo,JOTAN TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2389,Táxi Aéreo,COLT TAXI AEREO S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2390,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2392,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
2394,Táxi Aéreo,NORTE JET TAXI AEREO,COLISÃO NO SOLO
2395,Táxi Aéreo,NORTE JET TAXI AEREO,COLISÃO NO SOLO
2396,Voo Regular,WHITEJETS TRANSPORTES AEREOS LTDA,
2399,Voo Regular,AZUL,
2401,Voo Regular,TAM,
2405,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2406,Voo Regular,TAM,
2407,Voo Regular,TAM,
2408,Voo Regular,AZUL,
2409,Voo Regular,VARIG LOGISTICA S/A,OUTROS
2413,Táxi Aéreo,TAXI AEREO RIBEIRO,VOO CONTROLADO CONTRA O TERRENO
2414,Voo Regular,PANTANAL,
2415,Táxi Aéreo,JOTAN TAXI AEREO LTDA,COLISÃO COM AVE
2416,Voo Regular,TAM,
2417,Voo Regular,TRIP,COLISÃO COM AVE
2420,Voo Regular,GOL,
2421,Voo Regular,AZUL,
2426,Voo Regular,WEBJET,
2430,Táxi Aéreo,AVALON TAXI AEREO LTDA - ME,
2432,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2433,Voo Regular,AZUL,
2434,Voo Regular,TAM,
2435,Voo Regular,TAM,
2437,Voo Regular,AZUL,COLISÃO COM AVE
2438,Voo Regular,AZUL,
2441,Voo Regular,ABSA AEROLINHAS BRASILEIRAS S/A,
2443,Táxi Aéreo,JAD TAXI AEREO LTDA,
2444,Voo Regular,PUMA AIR LINHAS AEREAS LTDA,
2446,Táxi Aéreo,JAD TAXI AEREO LTDA,
2447,Táxi Aéreo,UIRAPURU TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2448,Voo Regular,WEBJET,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2454,Voo Regular,AZUL,
2455,Voo Regular,AZUL,
2457,Voo Regular,TAM,COLISÃO COM AVE
2460,Voo Regular,TAM,
2461,Voo Regular,AZUL,
2462,Voo Regular,AZUL,
2466,Voo Regular,TAM,
2467,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2468,Táxi Aéreo,PROTAXI - PRO OESTE TAXI AEREO LTDA,
2469,Voo Regular,AZUL,
2472,Voo Regular,AZUL,
2474,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,COLISÃO COM AVE
2475,Voo Regular,PANTANAL,COLISÃO COM AVE
2478,Voo Regular,TAM,
2479,Voo Regular,GOL,
2480,Voo Regular,GOL,OUTROS
2481,Voo Regular,AZUL,
2482,Táxi Aéreo,RORAIMA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2485,Voo Regular,GOL,
2486,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
2495,Voo Regular,OCEANAIR,COLISÃO COM AVE
2501,Táxi Aéreo,COLT TAXI AEREO S/A,
2505,Voo Regular,WEBJET,
2506,Voo Regular,WEBJET,
2507,Voo Regular,TAM,
2508,Voo Regular,TAM,
2509,Voo Regular,AZUL,
2513,Voo Regular,TAM,
2514,Voo Regular,TAM,
2515,Voo Regular,AZUL,
2517,Voo Regular,TAM,
2518,Voo Regular,TAM,
2521,Voo Regular,TAM,
2522,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2523,Voo Regular,AZUL,
2524,Voo Regular,AZUL,
2525,Voo Regular,OCEANAIR,
2529,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2531,Táxi Aéreo,AMERICA DO SUL - TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2532,Voo Regular,WEBJET,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2533,Voo Regular,AZUL,
2536,Voo Regular,TAM,
2539,Voo Regular,AZUL,
2540,Voo Regular,ABSA AEROLINHAS BRASILEIRAS S/A,COLISÃO COM AVE
2541,Voo Regular,OCEANAIR,
2542,Táxi Aéreo,SOCIEDADE DE TAXI AEREO WESTON LTDA,
2543,Voo Regular,TAM,
2544,Voo Regular,GOL,
2545,Táxi Aéreo,ICARO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2546,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2547,Voo Regular,AZUL,
2548,Voo Regular,TAP AIR PORTUGAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2551,Táxi Aéreo,SENIOR TAXI AEREO EXECUTIVO LTDA,OUTROS
2553,Táxi Aéreo,ADDEY TAXI AEREO LTDA,
2555,Voo Regular,AZUL,
2556,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
2558,Voo Regular,TRIP,
2559,Voo Regular,GOL,
2561,Táxi Aéreo,CEARA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2566,Voo Regular,GOL,
2568,Voo Regular,AZUL,
2569,Táxi Aéreo,TAM AVIACAO EXECUTIVA E TAXI AEREO S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2571,Voo Regular,GOL,
2572,Voo Regular,TRIP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2573,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2574,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2578,Voo Regular,TRIP,
2582,Voo Regular,WEBJET,
2588,Voo Regular,WEBJET,COLISÃO COM AVE
2589,Táxi Aéreo,OMNI TAXI AEREO LTDA,OUTROS
2591,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2592,Voo Regular,TEAM - TRANSPORTES ESPECIAIS AEREOS E MALOTES LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2594,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2596,Táxi Aéreo,AMERICA DO SUL - TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2597,Voo Regular,GOL,
2599,Voo Regular,AZUL,
2600,Voo Regular,AZUL,
2601,Voo Regular,TAM,
2604,Voo Regular,WEBJET,OUTROS
2606,Voo Regular,TRIP,
2610,Voo Regular,TAM,
2612,Voo Regular,TAM,
2613,Voo Regular,WEBJET,OUTROS
2614,Voo Regular,AZUL,
2615,Voo Regular,WEBJET,COLISÃO COM AVE
2617,Voo Regular,TAM,
2621,Voo Regular,OCEANAIR,
2622,Voo Regular,AZUL,
2623,Voo Regular,ABSA AEROLINHAS BRASILEIRAS S/A,
2625,Voo Regular,TAM,
2626,Voo Regular,AZUL,
2627,Voo Regular,ABSA AEROLINHAS BRASILEIRAS S/A,
2628,Voo Regular,AZUL,
2630,Voo Regular,OCEANAIR,
2631,Táxi Aéreo,ERA HELICOPTERS LCC / AEROLEO TAXI AERO S/A,
2632,Táxi Aéreo,JAD TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2633,Voo Regular,AZUL,
2634,Voo Regular,TAM,
2636,Táxi Aéreo,RIMA RIO MADEIRA AEROTAXI LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2637,Voo Regular,TAM,
2638,Voo Regular,WEBJET,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2640,Voo Regular,PASSAREDO,POUSO AQUÉM/ALÉM DA PISTA
2641,Voo Regular,PASSAREDO,EXCURSÃO DE PISTA
2642,Voo Regular,AZUL,OUTROS
2643,Táxi Aéreo,TALLA TAXI AEREO LTDA,COLISÃO NO SOLO
2644,Voo Regular,TAM,
2645,Voo Regular,PANTANAL,OUTROS
2648,Voo Regular,TAM,
2651,Voo Regular,TRIP,OUTROS
2652,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2653,Voo Regular,AZUL,
2654,Voo Regular,TRIP,COLISÃO COM AVE
2655,Voo Regular,TAM,
2658,Voo Regular,TAM,
2659,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,
2662,Táxi Aéreo,JAD TAXI AEREO LTDA,
2665,Voo Regular,WEBJET,
2668,Táxi Aéreo,W & J TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2669,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,FOGO/FUMAÇA
2670,Táxi Aéreo,CEARA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2671,Táxi Aéreo,AERO STAR TAXI AEREO LTDA,OUTROS
2676,Voo Regular,WEBJET,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2679,Táxi Aéreo,TÁXI ÁEREO WEISS LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2680,Voo Regular,WEBJET,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2681,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2682,Voo Regular,TAM,
2684,Voo Regular,AZUL,
2685,Voo Regular,AZUL,
2686,Voo Regular,AZUL,
2687,Voo Regular,AZUL,
2689,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2690,Voo Regular,GOL,
2692,Voo Regular,GOL,
2693,Táxi Aéreo,CTA CLEITON TAXI AEREO LTDA,COLISÃO NO SOLO
2695,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,COLISÃO COM AVE
2697,Táxi Aéreo,COLT TAXI AEREO S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2698,Táxi Aéreo,ADDEY TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2699,Voo Regular,PASSAREDO,PERDA DE CONTROLE NO SOLO
2701,Táxi Aéreo,JAD TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2705,Voo Regular,TAM,
2706,Voo Regular,AZUL,
2709,Táxi Aéreo,TOP LINE TAXI AEREO LTDA,
2712,Voo Regular,NOAR LINHAS AEREAS S/A,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2713,Voo Regular,TAM,
2714,Voo Regular,TAM,
2715,Voo Regular,GOL,
2716,Voo Regular,TAM,
2718,Voo Regular,TAM,
2719,Voo Regular,AZUL,
2720,Voo Regular,TRIP,
2722,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2723,Voo Regular,TRIP,
2724,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2725,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2726,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,EXCURSÃO DE PISTA
2727,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,PERDA DE CONTROLE NO SOLO
2732,Voo Regular,TRIP,
2736,Táxi Aéreo,AMERICA DO SUL - TAXI AEREO LTDA,
2737,Voo Regular,GOL,
2738,Voo Regular,GOL,
2739,Voo Regular,GOL,
2740,Voo Regular,GOL,
2741,Voo Regular,TRIP,
2742,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2747,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2749,Voo Regular,TAM,
2750,Voo Regular,AZUL,
2753,Voo Regular,TRIP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2754,Voo Regular,TRIP,EXCURSÃO DE PISTA
2755,Táxi Aéreo,MANAUS AEROTAXI PARTICIPACOES LTDA,OUTROS
2756,Voo Regular,AZUL,
2762,Voo Regular,TAM,
2763,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2764,Voo Regular,TAM,COLISÃO COM AVE
2765,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2767,Voo Regular,TAM,COLISÃO COM AVE
2768,Voo Regular,PUMA AIR LINHAS AEREAS LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2769,Voo Regular,AZUL,
2770,Voo Regular,AZUL,
2771,Voo Regular,TAM,
2772,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2773,Voo Regular,GOL,
2774,Voo Regular,ABSA AEROLINHAS BRASILEIRAS S/A,
2777,Voo Regular,TAM,
2778,Voo Regular,TAM,
2779,Voo Regular,AZUL,
2780,Voo Regular,TRIP,
2782,Voo Regular,TAM,
2783,Voo Regular,TAM,
2784,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2785,Táxi Aéreo,RICO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2787,Táxi Aéreo,AERO STAR TAXI AEREO LTDA,
2788,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,
2789,Voo Regular,TAM,
2790,Voo Regular,AZUL,COLISÃO COM AVE
2791,Voo Regular,AZUL,
2792,Voo Regular,AZUL,
2793,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
2794,Táxi Aéreo,BANJET TAXI AEREO LTDA,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
2795,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
2796,Voo Regular,TAM,
2797,Voo Regular,GOL,
2799,Táxi Aéreo,OCEANAIR TAXI AEREO LTDA,EXCURSÃO DE PISTA
2800,Táxi Aéreo,OCEANAIR TAXI AEREO LTDA,PERDA DE CONTROLE NO SOLO
2801,Voo Regular,TAM,
2802,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2804,Voo Regular,VARIG LOGISTICA S/A,
2808,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2810,Voo Regular,GOL,
2812,Táxi Aéreo,SETE TAXI AEREO LTDA,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
2814,Voo Regular,TAM,POUSO AQUÉM/ALÉM DA PISTA
2816,Voo Regular,WEBJET,
2819,Táxi Aéreo,RORAIMA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2822,Voo Regular,AZUL,
2828,Voo Regular,GOL,
2829,Voo Regular,GOL,
2834,Voo Regular,SETE TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2835,Voo Regular,SETE TAXI AEREO LTDA,EXCURSÃO DE PISTA
2836,Táxi Aéreo,SETE TAXI AEREO LTDA,OUTROS
2841,Voo Regular,GOL,
2842,Táxi Aéreo,AEROLEO TAXI AEREO,
2844,Voo Regular,PANTANAL,
2845,Táxi Aéreo,SENIOR TAXI AEREO EXECUTIVO LTDA,OUTROS
2849,Voo Regular,AZUL,
2850,Voo Regular,AZUL,
2853,Voo Regular,TAM,
2854,Voo Regular,AZUL,
2856,Voo Regular,GOL,
2858,Voo Regular,TAM,
2859,Táxi Aéreo,FRETAX TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2861,Táxi Aéreo,ADDEY TAXI AEREO LTDA,
2862,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2864,Voo Regular,TAM,
2865,Voo Regular,TAM,
2868,Voo Regular,GOL,
2869,Voo Regular,TAM,
2870,Voo Regular,AZUL,
2872,Táxi Aéreo,NO LIMITS TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
2875,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2878,Voo Regular,TAM,COLISÃO COM AVE
2880,Voo Regular,AZUL,
2881,Voo Regular,TAM,
2884,Voo Regular,PANTANAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2885,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2886,Voo Regular,TRIP,OUTROS
2888,Voo Regular,TAM,COLISÃO COM AVE
2889,Voo Regular,TAM,COLISÃO COM AVE
2890,Voo Regular,GOL,
2892,Voo Regular,TRIP,OUTROS
2895,Voo Regular,AZUL,
2898,Voo Regular,TRIP,FOGO/FUMAÇA
2900,Táxi Aéreo,TWO TAXI AEREO LTDA,OUTROS
2901,Táxi Aéreo,TWO TAXI AEREO LTDA,EXCURSÃO DE PISTA
2905,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2906,Voo Regular,ABSA AEROLINHAS BRASILEIRAS S/A,
2907,Voo Regular,AZUL,
2908,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
2909,Táxi Aéreo,FRETAX TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2910,Voo Regular,GOL,
2911,Voo Regular,GOL,
2912,Voo Regular,GOL,
2913,Táxi Aéreo,HEISS TAXI AEREO LTDA,
2914,Táxi Aéreo,STILUS TAXI AEREO LTDA,
2916,Voo Regular,TAM,
2917,Voo Regular,GOL,OUTROS
2919,Voo Regular,GOL,
2920,Voo Regular,GOL,
2922,Táxi Aéreo,AEROLEO TAXI AEREO,
2923,Voo Regular,TAM,
2924,Voo Regular,TAM,
2926,Táxi Aéreo,AEROLEO TAXI AEREO,
2929,Voo Regular,TAM,COLISÃO COM AVE
2930,Voo Regular,TAM,
2932,Voo Regular,OCEANAIR,
2933,Voo Regular,GOL,
2934,Táxi Aéreo,REALI TAXI AEREO LTDA,COLISÃO COM AVE
2935,Voo Regular,TAM,COLISÃO COM AVE
2939,Táxi Aéreo,AEROMIL TAXI AEREO LTDA,OUTROS
2941,Voo Regular,OCEANAIR,OUTROS
2943,Voo Regular,AZUL,
2947,Voo Regular,AMERICAN AIRLINES,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2948,Voo Regular,TAM,
2949,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2951,Voo Regular,TAM,
2954,Voo Regular,PUMA AIR LINHAS AEREAS LTDA,COLISÃO COM AVE
2956,Táxi Aéreo,RORAIMA TAXI AEREO LTDA,OUTROS
2959,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2962,Táxi Aéreo,SENIOR TAXI AEREO EXECUTIVO LTDA,
2965,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
2967,Táxi Aéreo,JAD TAXI AEREO LTDA,OUTROS
2968,Voo Regular,TAM,
2973,Táxi Aéreo,FRETAX TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2975,Voo Regular,AZUL,OPERAÇÕES NO SOLO
2976,Voo Regular,MODERN TRANSPORTE AEREO DE CARGA SA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2984,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2989,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
2992,Táxi Aéreo,UNIAIR TAXI AEREO LTDA,OUTROS
2994,Voo Regular,TAM,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)"
2997,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
2998,Voo Regular,TAM,OUTROS
2999,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
3007,Voo Regular,ETHIOPIAN AIRLINES,FOGO/FUMAÇA
3008,Voo Regular,OCEANAIR,OUTROS
3011,Voo Regular,AZUL,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
3012,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
3019,Táxi Aéreo,LIDER TAXI AEREO S A AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
3021,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
3022,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
3026,Voo Regular,TAM,COLISÃO COM AVE
